query_id,recall_at_3,recall_at_5,recall_at_10,mrr,ndcg_at_5,ndcg_at_10,map
674,0.0,0.0,1.0,0.16666666666666666,0.0,0.3562071871080222,0.16666666666666666
684,1.0,1.0,1.0,0.5,0.6309297535714575,0.6309297535714575,0.5
690,0.0,0.0,0.0,0.0,0.0,0.0,0.0
691,0.0,0.0,1.0,0.125,0.0,0.31546487678572877,0.125
692,1.0,1.0,1.0,1.0,1.0,1.0,1.0
693,1.0,1.0,1.0,1.0,1.0,1.0,1.0
700,1.0,1.0,1.0,0.5,0.6309297535714575,0.6309297535714575,0.5
702,1.0,1.0,1.0,0.5,0.6309297535714575,0.6309297535714575,0.5
715,0.0,0.0,0.0,0.0,0.0,0.0,0.0
716,0.0,0.0,0.0,0.0,0.0,0.0,0.0
718,1.0,1.0,1.0,1.0,1.0,1.0,1.0
721,1.0,1.0,1.0,1.0,1.0,1.0,1.0
723,1.0,1.0,1.0,1.0,1.0,1.0,1.0
727,0.0,0.0,1.0,0.16666666666666666,0.0,0.3562071871080222,0.16666666666666666
728,0.5,1.0,1.0,0.5,0.6509209298071326,0.6509209298071326,0.5
729,1.0,1.0,1.0,1.0,1.0,1.0,1.0
742,0.0,0.0,1.0,0.1111111111111111,0.0,0.3010299956639812,0.1111111111111111
743,0.0,0.0,0.0,0.0,0.0,0.0,0.0
744,1.0,1.0,1.0,0.3333333333333333,0.5,0.5,0.3333333333333333
756,1.0,1.0,1.0,0.3333333333333333,0.5,0.5,0.3333333333333333
759,1.0,1.0,1.0,1.0,1.0,1.0,1.0
768,0.0,0.0,0.0,0.0,0.0,0.0,0.0
770,1.0,1.0,1.0,1.0,1.0,1.0,1.0
775,0.0,0.0,0.0,0.0,0.0,0.0,0.0
781,1.0,1.0,1.0,1.0,1.0,1.0,1.0
783,0.0,0.0,1.0,0.125,0.0,0.31546487678572877,0.125
784,1.0,1.0,1.0,0.3333333333333333,0.5,0.5,0.3333333333333333
785,0.0,0.0,0.0,0.0,0.0,0.0,0.0
793,1.0,1.0,1.0,1.0,1.0,1.0,1.0
800,1.0,1.0,1.0,0.5,0.6309297535714575,0.6309297535714575,0.5
805,1.0,1.0,1.0,1.0,1.0,1.0,1.0
808,1.0,1.0,1.0,1.0,1.0,1.0,1.0
811,1.0,1.0,1.0,1.0,1.0,1.0,1.0
814,1.0,1.0,1.0,1.0,1.0,1.0,1.0
820,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821,0.0,0.0,0.0,0.0,0.0,0.0,0.0
823,0.0,0.0,1.0,0.16666666666666666,0.0,0.3562071871080222,0.16666666666666666
830,0.0,0.0,0.0,0.0,0.0,0.0,0.0
831,0.0,0.0,0.0,0.0,0.0,0.0,0.0
832,1.0,1.0,1.0,1.0,1.0,1.0,1.0
834,0.0,0.0,0.0,0.0,0.0,0.0,0.0
837,1.0,1.0,1.0,0.5,0.6309297535714575,0.6309297535714575,0.5
839,0.0,1.0,1.0,0.25,0.43067655807339306,0.43067655807339306,0.25
845,1.0,1.0,1.0,0.5,0.6309297535714575,0.6309297535714575,0.5
847,1.0,1.0,1.0,0.5,0.6309297535714575,0.6309297535714575,0.5
852,1.0,1.0,1.0,0.3333333333333333,0.5,0.5,0.3333333333333333
859,1.0,1.0,1.0,0.3333333333333333,0.5,0.5,0.3333333333333333
870,0.0,0.0,0.0,0.0,0.0,0.0,0.0
873,0.2,0.2,0.4,0.3333333333333333,0.16958010263680806,0.2765732350040718,0.11666666666666665
879,1.0,1.0,1.0,1.0,1.0,1.0,1.0
880,0.0,1.0,1.0,0.25,0.43067655807339306,0.43067655807339306,0.25
882,1.0,1.0,1.0,1.0,1.0,1.0,1.0
887,0.0,0.0,0.0,0.0,0.0,0.0,0.0
903,1.0,1.0,1.0,1.0,1.0,1.0,1.0
904,1.0,1.0,1.0,1.0,1.0,1.0,1.0
907,1.0,1.0,1.0,1.0,1.0,1.0,1.0
911,1.0,1.0,1.0,1.0,1.0,1.0,1.0
913,0.0,1.0,1.0,0.25,0.43067655807339306,0.43067655807339306,0.25
914,0.0,1.0,1.0,0.25,0.43067655807339306,0.43067655807339306,0.25
921,1.0,1.0,1.0,1.0,1.0,1.0,1.0
922,1.0,1.0,1.0,1.0,1.0,1.0,1.0
936,1.0,1.0,1.0,1.0,1.0,1.0,1.0
956,0.0,0.0,1.0,0.14285714285714285,0.0,0.3333333333333333,0.14285714285714285
957,1.0,1.0,1.0,1.0,1.0,1.0,1.0
960,1.0,1.0,1.0,1.0,1.0,1.0,1.0
967,0.5,0.5,1.0,1.0,0.6131471927654584,0.8315546295836225,0.6666666666666666
971,0.5,1.0,1.0,0.5,0.7606395682357036,0.7606395682357036,0.6791666666666667
975,0.0,0.0,0.0,0.0,0.0,0.0,0.0
982,1.0,1.0,1.0,1.0,1.0,1.0,1.0
985,1.0,1.0,1.0,1.0,1.0,1.0,1.0
993,1.0,1.0,1.0,0.5,0.6309297535714575,0.6309297535714575,0.5
1012,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1014,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1019,0.0,0.0,1.0,0.16666666666666666,0.0,0.3562071871080222,0.16666666666666666
1020,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1021,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1024,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1029,0.6666666666666666,1.0,1.0,1.0,0.8854598815714874,0.8854598815714874,0.7555555555555555
1041,0.0,0.0,0.5,0.14285714285714285,0.0,0.20438239758848611,0.07142857142857142
1049,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1062,1.0,1.0,1.0,0.3333333333333333,0.5,0.5,0.3333333333333333
1086,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1088,1.0,1.0,1.0,0.5,0.6309297535714575,0.6309297535714575,0.5
1089,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1099,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1104,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1107,1.0,1.0,1.0,0.5,0.6309297535714575,0.6309297535714575,0.5
1110,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1121,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1130,1.0,1.0,1.0,1.0,1.0,1.0,1.0
