recall_at_3,recall_at_5,recall_at_10,mrr,ndcg_at_5,ndcg_at_10,map,query_id,latency_ms
0.0,0.0,0.0,0.0,0.0,0.0,0.0,128,7441.352499998175
1.0,1.0,1.0,1.0,1.0,1.0,1.0,129,7560.609100008151
1.0,1.0,1.0,1.0,1.0,1.0,1.0,130,7906.591200007824
0.0,0.0,0.0,0.0,0.0,0.0,0.0,132,7439.156000007642
0.2,0.4,0.6,0.3333333333333333,0.3156484524795145,0.41774584760242617,0.30606060606060603,133,7518.879299983382
1.0,1.0,1.0,1.0,1.0,1.0,1.0,137,7500.703800003976
0.0,0.5,1.0,0.25,0.2640681225725909,0.448643819352159,0.2361111111111111,141,7577.597800001968
0.0,1.0,1.0,0.25,0.43067655807339306,0.43067655807339306,0.25,142,8143.565700011095
1.0,1.0,1.0,0.3333333333333333,0.5,0.5,0.3333333333333333,143,7747.923799994169
1.0,1.0,1.0,1.0,1.0,1.0,1.0,146,7543.64550000173
1.0,1.0,1.0,1.0,1.0,1.0,1.0,148,7694.33850000496
0.0,0.0,1.0,0.125,0.0,0.31546487678572877,0.125,163,7617.852800001856
1.0,1.0,1.0,0.5,0.6309297535714575,0.6309297535714575,0.5,171,7586.444199987454
0.0,0.5,0.5,0.25,0.3191471544989227,0.3191471544989227,0.2916208791208791,179,7541.589999978896
1.0,1.0,1.0,0.5,0.6309297535714575,0.6309297535714575,0.5,180,7660.783200000878
0.0,0.0,1.0,0.1,0.0,0.2890648263178879,0.1,183,7534.183799987659
1.0,1.0,1.0,1.0,1.0,1.0,1.0,185,7435.601800010772
0.0,0.0,0.0,0.0,0.0,0.0,0.0,198,7429.1347000107635
0.0,0.0,1.0,0.14285714285714285,0.0,0.3333333333333333,0.14285714285714285,208,7464.622600004077
1.0,1.0,1.0,0.5,0.6309297535714575,0.6309297535714575,0.5,212,7480.125400004908
1.0,1.0,1.0,1.0,1.0,1.0,1.0,213,7562.980699993204
1.0,1.0,1.0,0.5,0.6309297535714575,0.6309297535714575,0.5,216,7432.891300006304
0.0,1.0,1.0,0.25,0.43067655807339306,0.43067655807339306,0.25,217,7489.037899998948
0.0,1.0,1.0,0.25,0.43067655807339306,0.43067655807339306,0.25,218,7597.043999994639
1.0,1.0,1.0,0.3333333333333333,0.5,0.5,0.3333333333333333,219,7486.659399990458
1.0,1.0,1.0,1.0,1.0,1.0,1.0,230,7486.136399995303
0.0,0.0,1.0,0.14285714285714285,0.0,0.3333333333333333,0.14285714285714285,232,7423.403499997221
1.0,1.0,1.0,0.3333333333333333,0.5,0.5,0.3333333333333333,233,7527.948800008744
0.0,1.0,1.0,0.25,0.43067655807339306,0.43067655807339306,0.25,236,7668.066100013675
1.0,1.0,1.0,0.3333333333333333,0.5,0.5,0.3333333333333333,237,7480.33389999182
0.0,0.0,0.0,0.0,0.0,0.0,0.0,238,7860.263399983523
0.0,0.0,0.0,0.0,0.0,0.0,0.0,239,7580.571200000122
1.0,1.0,1.0,1.0,1.0,1.0,1.0,248,7535.752399999183
1.0,1.0,1.0,1.0,1.0,1.0,1.0,249,7470.535900007235
0.0,0.0,0.5,0.1111111111111111,0.0,0.18457569677956817,0.05555555555555555,261,7473.538999998709
1.0,1.0,1.0,0.5,0.6309297535714575,0.6309297535714575,0.5,268,7463.920500013046
1.0,1.0,1.0,0.5,0.6309297535714575,0.6309297535714575,0.5,269,7491.57060001744
0.0,1.0,1.0,0.25,0.43067655807339306,0.43067655807339306,0.25,274,7472.0271000114735
0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,0.46927872602275644,0.6257049680303419,0.42857142857142855,275,7597.123500017915
0.0,0.0,1.0,0.14285714285714285,0.0,0.3333333333333333,0.14285714285714285,279,7419.959300023038
0.0,0.0,0.0,0.0,0.0,0.0,0.0,294,7592.9236999945715
0.0,1.0,1.0,0.25,0.43067655807339306,0.43067655807339306,0.25,295,7504.182500008028
0.0,1.0,1.0,0.25,0.43067655807339306,0.43067655807339306,0.25,298,8582.097400008934
0.0,1.0,1.0,0.2,0.38685280723454163,0.38685280723454163,0.2,300,7514.674499980174
0.0,0.0,0.0,0.0,0.0,0.0,0.0,303,7575.971900019795
