query_id,recall_at_3,recall_at_5,recall_at_10,mrr,ndcg_at_5,ndcg_at_10,map,latency_ms
852,1.0,1.0,1.0,1.0,1.0,1.0,1.0,366.25800000183517
859,1.0,1.0,1.0,0.3333333333333333,0.5,0.5,0.3333333333333333,361.3474000012502
870,0.0,0.0,0.0,0.0,0.0,0.0,0.0,369.1791999954148
873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,378.21839999378426
879,1.0,1.0,1.0,1.0,1.0,1.0,1.0,370.9900000030757
880,1.0,1.0,1.0,1.0,1.0,1.0,1.0,383.977400000731
882,1.0,1.0,1.0,0.5,0.6309297535714575,0.6309297535714575,0.5,371.0214999955497
887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376.15899999946123
903,1.0,1.0,1.0,1.0,1.0,1.0,1.0,369.4869999962975
904,1.0,1.0,1.0,1.0,1.0,1.0,1.0,384.5165000020643
907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,397.31550000578864
911,1.0,1.0,1.0,1.0,1.0,1.0,1.0,377.15140000364045
913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365.5235999976867
914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,377.2510999988299
921,0.0,1.0,1.0,0.25,0.43067655807339306,0.43067655807339306,0.25,389.730499999132
922,1.0,1.0,1.0,1.0,1.0,1.0,1.0,396.6435999973328
936,1.0,1.0,1.0,1.0,1.0,1.0,1.0,372.9710000043269
956,1.0,1.0,1.0,1.0,1.0,1.0,1.0,369.88189999829046
957,1.0,1.0,1.0,0.3333333333333333,0.5,0.5,0.3333333333333333,368.6301000052481
960,1.0,1.0,1.0,1.0,1.0,1.0,1.0,355.559000003268
967,1.0,1.0,1.0,0.5,0.6934264036172708,0.6934264036172708,0.5833333333333333,378.1911999976728
971,0.25,0.5,1.0,0.3333333333333333,0.34620964322385606,0.5994875209249215,0.4154761904761905,385.47350000590086
975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,378.32699999853503
982,1.0,1.0,1.0,1.0,1.0,1.0,1.0,378.1228000007104
985,1.0,1.0,1.0,1.0,1.0,1.0,1.0,369.5707000006223
993,1.0,1.0,1.0,0.3333333333333333,0.5,0.5,0.3333333333333333,375.72740000177873
1012,1.0,1.0,1.0,1.0,1.0,1.0,1.0,366.9653000033577
1014,1.0,1.0,1.0,0.3333333333333333,0.5,0.5,0.3333333333333333,380.76920000457903
1019,1.0,1.0,1.0,0.5,0.6309297535714575,0.6309297535714575,0.5,374.0271999995457
1020,1.0,1.0,1.0,1.0,1.0,1.0,1.0,384.3752000029781
1021,1.0,1.0,1.0,1.0,1.0,1.0,1.0,393.041399998765
1024,1.0,1.0,1.0,1.0,1.0,1.0,1.0,381.7540000018198
1029,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.7653606369886217,0.7653606369886217,0.6666666666666666,391.67470000393223
1041,0.0,0.0,1.0,0.125,0.0,0.37800210039683896,0.1736111111111111,375.69280000025174
1049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,383.3876999997301
1062,1.0,1.0,1.0,1.0,1.0,1.0,1.0,354.80660000030184
1086,1.0,1.0,1.0,1.0,1.0,1.0,1.0,380.50120000116294
1088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,374.71609999920474
1089,1.0,1.0,1.0,1.0,1.0,1.0,1.0,371.75980000029085
1099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,401.5466999990167
1100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,359.3574999977136
1104,1.0,1.0,1.0,1.0,1.0,1.0,1.0,393.4047000002465
1107,1.0,1.0,1.0,1.0,1.0,1.0,1.0,368.2630000039353
1110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,363.5837999972864
1121,1.0,1.0,1.0,0.3333333333333333,0.5,0.5,0.3333333333333333,395.91160000418313
1130,1.0,1.0,1.0,1.0,1.0,1.0,1.0,377.25460000365274
1132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,373.2342000002973
1137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375.8168999993359
1140,0.0,0.0,1.0,0.14285714285714285,0.0,0.3333333333333333,0.14285714285714285,376.10750000021653
1144,1.0,1.0,1.0,0.5,0.6309297535714575,0.6309297535714575,0.5,384.10599999770056
1146,1.0,1.0,1.0,1.0,1.0,1.0,1.0,369.61580000206595
1150,1.0,1.0,1.0,1.0,1.0,1.0,1.0,387.2518999996828
1163,1.0,1.0,1.0,1.0,1.0,1.0,1.0,377.672699993127
1175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,368.33150000165915
1179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375.2269000033266
1180,0.0,0.0,1.0,0.14285714285714285,0.0,0.3333333333333333,0.14285714285714285,378.6005000001751
1185,1.0,1.0,1.0,1.0,1.0,1.0,1.0,410.96960000140825
1187,1.0,1.0,1.0,1.0,1.0,1.0,1.0,393.92229999793926
1191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,367.9069999998319
1194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,379.03779999760445
1196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,377.0663000032073
1197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,383.9321000050404
1199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376.2826000020141
1200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,396.1102000030223
1202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,377.84410000313073
1204,1.0,1.0,1.0,1.0,1.0,1.0,1.0,372.93659999704687
1207,0.0,1.0,1.0,0.25,0.43067655807339306,0.43067655807339306,0.25,409.36150000197813
1213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,373.0359000037424
1216,1.0,1.0,1.0,1.0,1.0,1.0,1.0,390.3834000011557
1221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,380.04799999907846
1225,1.0,1.0,1.0,0.5,0.6309297535714575,0.6309297535714575,0.5,358.41549999895506
1226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370.35069999546977
1232,1.0,1.0,1.0,1.0,1.0,1.0,1.0,365.05039999610744
1241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,389.83919999736827
1245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,366.5672999995877
1259,0.0,0.0,1.0,0.125,0.0,0.31546487678572877,0.125,374.1348999974434
1262,0.0,1.0,1.0,0.25,0.43067655807339306,0.43067655807339306,0.25,342.35000000626314
1266,1.0,1.0,1.0,0.5,0.6309297535714575,0.6309297535714575,0.5,346.89309999521356
1270,1.0,1.0,1.0,1.0,1.0,1.0,1.0,354.6100000021397
1271,1.0,1.0,1.0,0.5,0.6309297535714575,0.6309297535714575,0.5,364.32849999982864
1272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,364.383899999666
1273,1.0,1.0,1.0,1.0,1.0,1.0,1.0,353.7923999974737
1274,0.6666666666666666,1.0,1.0,0.5,0.7122630665145961,0.7122630665145961,0.5888888888888889,382.5878999996348
1278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,388.7745000029099
1279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,374.65610000072047
1280,0.0,0.0,0.0,0.0,0.0,0.0,0.0,381.9262999968487
1281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,367.7548999985447
1282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,383.62129999586614
1290,1.0,1.0,1.0,1.0,1.0,1.0,1.0,373.8512999989325
1292,1.0,1.0,1.0,1.0,1.0,1.0,1.0,380.43959999777144
1298,1.0,1.0,1.0,1.0,1.0,1.0,1.0,388.8183000017307
1303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,359.2493000032846
1316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,380.14499999553664
1319,1.0,1.0,1.0,0.3333333333333333,0.5,0.5,0.3333333333333333,383.6031000028015
1320,1.0,1.0,1.0,1.0,1.0,1.0,1.0,367.1981999941636
1332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,388.7025000003632
1335,1.0,1.0,1.0,1.0,1.0,1.0,1.0,369.6655000021565
1336,1.0,1.0,1.0,1.0,1.0,1.0,1.0,381.0254999989411
1337,1.0,1.0,1.0,1.0,1.0,1.0,1.0,371.63730000611395
1339,1.0,1.0,1.0,1.0,1.0,1.0,1.0,369.9701000005007
1344,0.0,0.0,1.0,0.125,0.0,0.31546487678572877,0.125,400.9624000027543
1352,1.0,1.0,1.0,1.0,1.0,1.0,1.0,372.8502000012668
1359,1.0,1.0,1.0,1.0,1.0,1.0,1.0,397.66030000464525
1362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,374.4982999996864
1363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372.12060000456404
1368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376.00259999453556
1370,0.0,0.0,0.0,0.0,0.0,0.0,0.0,361.8773999987752
1379,0.25,0.5,0.5,0.5,0.4144299250118475,0.4144299250118475,0.25,382.06089999584947
1382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,361.2152999994578
1385,1.0,1.0,1.0,1.0,1.0,1.0,1.0,374.33239999518264
1389,1.0,1.0,1.0,1.0,1.0,1.0,1.0,359.07079999742564
1395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,377.6609999986249
